answer,question,funFact
4,How many structural cables project down to secure the spans of the iconic Brooklyn Bridge layout?,"Alongside the four main suspension cables, the bridge features a unique diagonal stay network that helps minimize deck swaying during high winds."
1994,"In what year did the construction of the massive, automated Kansai International Airport island wrap up in Japan?","Built entirely on a giant man-made island in Osaka Bay, the site utilized massive hydraulic jacks to keep the terminal level as the island slowly settled into the soft seabed."
21 million hours,How many millions of hours of labor did construction crews clock to complete the massive structural layout of the Hoover Dam?,"The grueling project finished two full years ahead of its original schedule, packing thousands of workers into the canyon during intense heat."
1964,"In what year did the historic Chesapeake Bay Bridge-Tunnel system open, linking highways through a mix of bridges and tubes?","Spanning 17.6 miles, the complex route utilizes giant man-made islands to transition traffic from elevated open-ocean bridges straight down into deep shipping channels."
11,How many massive boring machines did engineering teams deploy simultaneously to dig out the Eurotunnel paths?,"The giant rotating cutter heads chewed through the earth at speeds of up to 150 feet per day, tracking laser guidelines to meet perfectly in the middle."
1970,"In what year did construction wrap up on the massive Aswan High Dam across the Nile River, forming Lake Nasser?","The engineering project completely reshaped Egyptian agriculture, ending the ancient annual flooding cycles of the Nile while supplying electricity to millions."
"12,580",How many individual steel wire strands are wrapped to construct each main cable of the Mackinac Bridge in Michigan?,"Spanning five miles to link Michigan's upper and lower peninsulas, the bridge cables are strong enough to support severe winter gales and heavy commercial shipping freight."
1884,"In what year did the legendary engineer Gustave Eiffel finish building the Garabit Viaduct, a record-breaking iron railway arch?",Eiffel utilized the same advanced lattice iron physics on this massive bridge arch that he deployed just five years later to construct his iconic tower in Paris.
33,How many distinct turbines generate electricity inside the powerhouse rooms of the massive Grand Coulee Dam?,"The giant generators pump out billions of kilowatt-hours of clean electricity each year, powering cities across the entire Pacific Northwest."
820 feet [250 m],"What is the height of the massive concrete arch wall of the Mauvoisin Dam in Switzerland, in feet?","Nestled high in the Swiss Alps, it stands as one of the highest concrete arch dams on earth, capturing alpine glacial meltwater to generate power."
2,How many distinct anchoring blocks seal the ends of the massive suspension cables on the Verrazzano-Narrows Bridge?,"The colossal concrete blocks weigh over 400,000 tons each, using dead-weight mass to pull against the immense tension forces of the bridge's record-breaking spans."
2000,"In what year did the modern engineering marvel known as the Øresund Bridge open, linking Denmark directly to Sweden?",The unique international route combines a 5-mile open-water cable-stayed bridge with a man-made island and an underwater tunnel to clear airport lanes.
187 thousand tons,How many thousands of tons of structural steel make up the massive double-deck framework of the San Francisco-Oakland Bay Bridge?,"The immense bridge system utilizes a mix of suspension spans, a massive bored rock tunnel through Yerba Buena Island, and long cantilever trusses."
1978,"In what year did construction wrap up on the massive Sayano-Shushenskaya Dam in Russia, the country's largest power station?","The towering solid concrete gravity-arch wall stands 794 feet high, capturing the intense flow of the Yenisei River in Siberia."
